"Indicator","Area","Units","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Source"
"Population (Census)- Total Resident","State of Hawaii","Persons","","","","","","","","","","","","","","","","","","","","","632,772","","","","","","","","","","769,913","","","","","","","","","","964,691","","","","","","","","","","1,108,229","","","","","","","","","","1,211,537","","","","","","","","","","1,360,301","","","","","","","","","","1,455,271","","","","U.S. Census Bureau, Decennial Census"
"Total Resident Population","State of Hawaii","Persons","427,884","459,335","582,026","649,650","858,945","814,601","545,439","526,238","517,013","511,039","497,980","514,256","517,378","509,947","505,461","539,292","558,575","584,466","605,356","622,087","641,520","658,684","683,513","682,241","699,858","703,804","710,325","722,528","734,456","750,228","771,600","801,600","828,300","851,600","868,000","886,200","904,200","918,300","931,600","953,300","968,500","978,195","993,780","1,012,717","1,027,922","1,039,698","1,051,762","1,067,917","1,079,827","1,094,588","1,113,491","1,136,754","1,158,613","1,172,838","1,187,536","1,196,854","1,203,755","1,211,640","1,215,233","1,210,300","1,213,519","1,225,948","1,239,613","1,251,154","1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717","1,364,004","1,383,986","1,404,183","1,422,439","1,433,547","1,445,905","1,456,469","1,457,792","1,459,542","1,456,371","1,451,181","1,446,745","1,439,399","1,435,138","Census Bureau (Annual data), Bureau of Economic Analysis (Quarterly data), Data for 2011-2019 are DBEDT estimates"
"De Facto Population","State of Hawaii","Persons","","","","","","","","","","","","","","","","","","","611,800","630,500","651,200","668,200","693,600","694,500","711,200","715,400","724,600","742,600","758,800","778,800","798,600","833,100","869,800","901,300","923,700","943,500","970,300","992,300","1,014,300","1,042,700","1,054,218","1,061,588","1,082,311","1,107,563","1,129,088","1,136,160","1,165,826","1,185,394","1,198,637","1,234,640","1,257,319","1,252,265","1,271,662","1,267,849","1,289,804","1,298,096","1,303,915","1,327,930","1,334,125","1,332,442","1,336,005","1,337,629","1,353,051","1,358,755","1,387,569","1,412,500","1,430,516","1,433,461","1,432,620","1,442,556","1,468,736","1,495,947","1,529,466","1,556,369","1,574,866","1,597,450","1,611,051","1,624,163","1,634,237","1,632,588","1,482,790","1,565,043","1,597,575","","Hawaii State Dep. of Business, Economic Development & Tourism"
"Resident births","State of Hawaii","No. of births","","","","","","","","","","","","","","","","","","","16,710","17,050","17,193","17,558","17,932","17,744","17,284","16,259","14,943","14,765","14,595","15,690","16,361","15,780","15,364","15,328","15,472","15,689","16,292","16,874","16,717","17,513","18,129","18,174","18,675","19,090","18,667","18,267","18,253","18,555","18,937","19,335","20,438","19,880","19,837","19,567","19,438","18,552","18,378","17,326","17,567","17,032","17,514","17,043","17,444","18,066","18,238","17,882","18,927","19,085","19,417","18,843","18,911","18,911","18,920","18,927","18,506","18,390","18,007","17,473","16,940","16,774","15,771","15,604","","","Hawaii State Dep. of Health"
"Resident deaths","State of Hawaii","No. of death","","","","","","","","","","","","","","","","","","","3,185","3,374","3,593","3,428","3,575","3,709","3,696","3,764","3,839","3,973","4,250","4,214","3,971","4,130","4,245","4,356","4,286","4,272","4,349","4,349","4,508","4,791","4,903","4,927","5,123","5,409","5,571","5,751","5,788","6,149","5,970","6,381","6,687","6,696","6,846","7,226","7,206","7,482","7,803","7,710","7,969","8,125","8,163","8,252","8,650","8,850","8,888","8,988","9,290","9,314","9,322","9,676","9,392","9,688","10,065","10,274","10,606","10,915","10,777","11,239","11,263","11,456","11,954","12,620","","","Hawaii State Dep. of Health"
"GDP- Accommodation","State of Hawaii","Current $ (Mil)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2,335.3","2,447.4","2,616.6","2,946.6","2,869.5","2,983.9","3,173.4","3,611.4","3,943.0","4,253.4","4,204.4","3,766.0","2,989.1","3,185.1","3,556.7","4,032.7","4,357.8","4,234.4","4,606.6","4,726.2","5,211.5","6,209.3","6,308.0","3,292.7","4,296.4","6,100.1","","US, Bureau of Economic Analysis"
"Personal Income- Wages and salaries","State of Hawaii","Current $ (Mil)","","","","","","","","","","","509.5","596.3","650.7","673.6","667.0","692.1","729.4","784.1","846.7","951.1","1,076.2","1,158.0","1,231.0","1,320.4","1,440.7","1,574.8","1,730.4","1,868.2","2,118.7","2,427.9","2,778.6","2,935.3","3,188.5","3,551.1","3,890.8","4,240.6","4,533.1","4,874.3","5,422.3","6,010.0","6,683.5","7,182.3","7,605.8","8,084.5","8,594.0","9,159.9","9,763.7","10,666.5","11,767.4","12,997.9","14,404.8","15,296.0","16,257.2","16,515.9","16,666.4","16,680.1","16,718.1","17,215.9","17,621.0","18,185.4","19,173.0","19,831.1","20,866.8","22,004.8","23,664.0","25,184.9","26,869.3","28,392.8","29,194.4","28,515.2","28,598.2","29,450.2","30,666.4","31,513.3","32,830.3","34,592.5","36,014.3","37,257.2","38,103.0","39,269.4","36,763.0","39,798.5","42,831.3","45,651.5","US, Bureau of Economic Analysis"
"Total wage and salary jobs","State of Hawaii","Jobs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","537,950","548,550","552,000","547,350","544,100","540,300","538,300","539,000","539,150","543,200","559,800","563,000","564,500","575,400","591,400","609,400","624,850","632,300","626,450","598,750","594,300","601,700","","","","","","","","","","","","","U.S. Bureau of Labor Statistics and Hawaii State Dep. of Business, Economic Development & Tourism"
"Accommodation jobs","State of Hawaii","Jobs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38,800","40,600","41,000","37,900","37,900","37,600","38,400","38,300","37,900","37,600","38,600","38,200","36,400","37,100","38,200","39,200","39,700","39,700","38,400","35,500","35,100","36,500","38,400","39,300","40,000","40,100","41,200","42,500","43,000","42,800","21,800","28,900","36,800","39,100","U.S. Bureau of Labor Statistics and Hawaii State Dep. of Business, Economic Development & Tourism"
"Individual Income Tax Collection (net)","State of Hawaii","$ (Thous)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","743,114","900,962","922,206","951,405","1,003,479","918,811","995,456","985,000","1,093,241","1,053,858","1,080,371","1,100,317","1,059,646","1,071,356","1,235,721","1,447,744","1,576,674","1,579,138","1,564,708","1,267,602","1,375,120","1,460,621","1,651,212","1,745,615","1,820,693","2,054,098","2,118,219","2,263,183","2,523,786","2,683,592","2,597,385","3,355,884","3,497,207","3,385,346","Hawaii State Dep. of Taxation"
