Hawaii,Emigration,Margin of Error,MOE Percentage,Immigration ,MOE_2,MOE_prcnt_2
2004,46675,4917,11,49063,5862,12
2005,26200,775,3,49262,,
2006,42242,1024,2,60825,,
2007,--,--,--,,,
2008,68574,551,1,56761,,
2009,64417,911,1,53270,,
2010,98154,707 ,1,53581,6065,11
2011,123605,898,1,57542,5083,9
2012,122853,802,1,55145,5749,10
2013,120003,768,1,58083,6288,11
2014,121289,765,1,58144,5069,9
2015,120728,778,1,53742,4403,8
2016,128083,839,1,57229,6791,12
2017,133050,841,1,46457,5358,12
2018,134111,893,1,54074,5497,10
2019,136363,942,1,49708,5198,10
2020,--,--,--,,,
2021,118209,898,1,71626,8474,12
2022,133837,922,1,56209,6444,11
